area_unit_id,area_unit_name,2 + bedrooms needed (severely crowded),1 bedroom needed (crowded),total_crowded,total_crowded_percent,No extra bedrooms required,1 bedroom spare,2 or more bedrooms spare,total_not_crowded,total_not_crowded_percent,total_stated,total_unknown,total_households,average_household_size
524404,Favona North,63,81,144,29.6, 138 , 123 , 84 , 345 ,71.0, 486 , 57 , 540 ,4.3
524405,Favona South,51,69,123,25.2, 138 , 123 , 108 , 369 ,75.5, 489 , 111 , 603 ,4.7
524510,Harania North,117,129,249,40.5, 168 , 117 , 81 , 366 ,59.5, 615 , 84 , 699 ,5.3
524520,Harania West,138,159,297,33.4, 270 , 213 , 108 , 594 ,66.9, 888 , 129 ," 1,020 ",4.4
524530,Harania East,159,210,369,37.2, 294 , 216 , 111 , 621 ,62.5, 993 , 114 ," 1,107 ",4.6
524602,Wiri,96,186,282,32.4, 306 , 201 , 84 , 588 ,67.6, 870 , 135 ," 1,002 ",3.9
524603,Puhinui South,33,93,126,17.8, 252 , 198 , 129 , 579 ,81.8, 708 , 81 , 786 ,3.1
524604,Manukau Central,6,12,15,10.9, 93 , 24 , 6 , 123 ,89.1, 138 , 45 , 183 ,1.9
524711,Burbank,72,114,186,29.2, 180 , 150 , 120 , 450 ,70.8, 636 , 93 , 729 ,4.3
524712,Homai West,60,84,144,30.8, 135 , 102 , 90 , 327 ,69.9, 468 , 27 , 495 ,4.2
524713,Rowandale,87,117,207,32.9, 180 , 171 , 75 , 426 ,67.6, 630 , 75 , 705 ,4.3
524720,Homai East,93,177,270,18.2, 438 , 462 , 315 ," 1,215 ",81.8," 1,485 ", 153 ," 1,638 ",3.5
524811,Weymouth West,54,90,144,13.6, 264 , 351 , 300 , 915 ,86.4," 1,059 ", 78 ," 1,137 ",3.4
524812,Weymouth East,84,117,201,16.9, 306 , 351 , 330 , 987 ,83.1," 1,188 ", 84 ," 1,272 ",3.7
524821,Clendon North,69,126,198,31.1, 174 , 159 , 105 , 441 ,69.3, 636 , 72 , 708 ,4.1
524822,Clendon South,114,183,294,28.2, 327 , 261 , 159 , 747 ,71.6," 1,044 ", 138 ," 1,182 ",4.2
524901,Hillpark,24,84,105,6.8, 321 , 513 , 594 ," 1,428 ",93.2," 1,533 ", 54 ," 1,587 ",3.0
524902,Manurewa East,33,60,96,15.0, 183 , 201 , 165 , 546 ,85.0, 642 , 54 , 699 ,3.2
525001,Manurewa Central,39,105,144,12.7, 357 , 378 , 255 , 993 ,87.3," 1,137 ", 111 ," 1,248 ",2.9
